course_name,institution,course_id,num_reviews,avg_rating
Algorithmic Toolbox,University of California San Diego,algorithmic-toolbox,1307,4.4
Excel Skills for Business: Essentials,Macquarie University,excel-essentials,1300,4.59
Introduction to Marketing,University of Pennsylvania,wharton-marketing,1268,4.65
Child Nutrition and Cooking,Stanford University,childnutrition,1237,4.64
Operating Systems and You: Becoming a Power User,Google,os-power-user,1212,4.22
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,aprendiendo-a-aprender,1190,4.81
Write Professional Emails in English,Georgia Institute of Technology,professional-emails-english,1187,4.58
Introduction to Programming with MATLAB,Vanderbilt University,matlab,1187,4.62
Contabilidad para no contadores,Universidad Nacional Autónoma de México,contabilidad,1143,4.57
Business Metrics for Data-Driven Companies,Duke University,analytics-business-metrics,1140,4.47
Design Thinking for Innovation,University of Virginia,uva-darden-design-thinking-innovation,1129,4.51
Introduction to Search Engine Optimization,"University of California, Davis",search-engine-optimization,1120,4.45
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,pap,1111,4.73
Data Science Methodology,IBM,data-science-methodology,1095,4.09
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,camino-excelencia-gestion-proyectos,1055,4.41
Data Analysis with Python,IBM,data-analysis-with-python,1052,4.17
AI For Everyone,DeepLearning.AI,ai-for-everyone,1050,4.4
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,gestionempresarialpyme,1050,4.77
Introduction to Financial Accounting,University of Pennsylvania,wharton-accounting,1040,4.67
The Science of Well-Being,Yale University,the-science-of-well-being,1036,4.61
SQL for Data Science,"University of California, Davis",sql-for-data-science,1034,4.25
Financial Markets,Yale University,financial-markets-global,1027,4.53
English for Career Development,University of Pennsylvania,careerdevelopment,1011,4.69
Mathematics for Machine Learning: Linear Algebra,Imperial College London,linear-algebra-machine-learning,1004,4.37
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,progfun1,1001,4.62
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,introduction-tensorflow,1000,4.26
Introduction to Philosophy,The University of Edinburgh,philosophy,994,4.59
System Administration and IT Infrastructure Services,Google,system-administration-it-infrastructure-services,992,4.44
Fundamentals of Quantitative Modeling,University of Pennsylvania,wharton-quantitative-modeling,988,4.46
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,mindshift,981,4.64
Psychological First Aid,Johns Hopkins University,psychological-first-aid,966,4.63
Introduction to Personal Branding,University of Virginia,personal-branding,964,4.09
Introduction to Data Analysis Using Excel,Rice University,excel-data-analysis,963,4.54
Essential Google Cloud Infrastructure: Foundation,Google Cloud,gcp-infrastructure-foundation,961,4.58
Convolutional Neural Networks,DeepLearning.AI,convolutional-neural-networks,959,3.81
Introduction to CSS3,University of Michigan,introcss,949,4.7
Learn to Program: The Fundamentals,University of Toronto,learn-to-program,947,4.65
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,speak-english-professionally,930,4.5
Machine Learning with Python,IBM,machine-learning-with-python,922,4.24
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,wharton-contagious-viral-marketing,913,4.68
Databases and SQL for Data Science,IBM,sql-data-science,899,4.18
Introduction to Game Development,Michigan State University,game-development,897,4.67
Introduction to Software Product Management,University of Alberta,introduction-to-software-product-management,891,4.47
Applied Machine Learning in Python,University of Michigan,python-machine-learning,890,4.37
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,ciencia-computacao-python-conceitos,890,4.8
Data Science Math Skills,Duke University,datasciencemathskills,880,4.19
Data Visualization with Python,IBM,python-for-data-visualization,874,3.88
Object Oriented Programming in Java,University of California San Diego,object-oriented-java,871,4.57
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,python-data-visualization,871,4.31
Fundamentals of GIS,"University of California, Davis",gis,862,4.81
Python Programming: A Concise Introduction,Wesleyan University,python-programming-introduction,860,4.57
Java Programming: Solving Problems with Software,Duke University,java-programming,860,4.31
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,positive-psychology-visionary-science,857,4.8
Fundamentos de Finanzas Empresariales,Universidad de los Andes,finanzas-empresariales,851,4.84
Preparing to Manage Human Resources,University of Minnesota,managing-human-resources,846,4.74
Understanding Research Methods,University of London,research-methods,828,4.4
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,bootstrap-4,821,4.67
Introduction to HTML5,University of Michigan,html,819,3.97
Private Equity and Venture Capital,Università Bocconi,private-equity,818,4.7
Dog Emotion and Cognition,Duke University,dog-emotion-and-cognition,818,4.58
Introduction to Probability and Data with R,Duke University,probability-intro,810,4.52
Supply Chain Logistics,Rutgers the State University of New Jersey,supply-chain-logistics,810,4.56
Creative Writing: The Craft of Plot,Wesleyan University,craft-of-plot,807,4.56
IT Security: Defense against the digital dark arts,Google,it-security,797,4.6
Python Basics,University of Michigan,python-basics,791,4.54
Data-driven Decision Making,PwC,decision-making,780,4.42
Fundamentals of Visualization with Tableau,"University of California, Davis",data-visualization-tableau,775,4.2
Fundamentals of Project Planning and Management,University of Virginia,uva-darden-project-management,774,4.68
