course_name,enrrollment_count,course_type,institution,instructors,course_level,course_subject,language,subtitles,avg_course_effort,duration_in_weeks,course_price,verified_certificate_price
Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,['George Siedel'],Introductory,Business & Management,English,['English'],3.0,7,Free,49.0
Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),"['Marwa Hussein', 'Andrew Byrne', 'Adrian Leven', ""Gerry O'Brien""]",Introductory,Computer Science,English,['English'],5.0,6,Free,199.0
Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,['Daniel Wolfenzon'],Introductory,Business & Management,English,['English'],3.5,4,Free,225.0
Computer Science 101,39540,Self-paced on your time,Stanford University,['Nick Parlante'],Introductory,Computer Science,English,['English'],5.0,6,Free,149.0
Data Science: Wrangling,64584,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,['Rajesh Bhaskaran'],Intermediate,Engineering,English,['English'],5.0,6,Free,199.0
AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Computer Science,English,['English'],1.5,4,Free,49.0
The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,"['Blake McKimmie', 'Mark Horswill', 'Barbara Masser']",Introductory,Humanities,English,['English'],1.5,8,Free,99.0
Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,['Saeed Aghabozorgi'],Introductory,Data Analysis & Statistics,English,['English'],5.0,5,Free,39.0
Analyzing Data with Python,94079,Self-paced on your time,IBM,['Joseph Santarcangelo'],Introductory,Data Analysis & Statistics,English,['English'],3.0,5,Free,39.0
Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,"['Jaime Busquets Mataix', 'Víctor Braquehais Acero']",Intermediate,Computer Science,Español,['Español'],5.0,6,Free,75.0
Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['John Tsitsiklis', 'Dimitri Bertsekas', 'Patrick Jaillet', 'Karene Chu']",Advanced,Data Analysis & Statistics,English,['English'],12.0,16,Free,300.0
"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],4.0,8,Free,99.0
Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,"['Harpreet Singh', 'Ravinder Singh', 'Damanpreet Singh']",Introductory,Humanities,English,['English'],7.5,4,Free,99.0
Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,['Prof. Ana Gimeno'],Intermediate,Language,English,['English'],4.0,4,Free,50.0
Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,"['Diane L. Moore', 'Anna Mudd']",Introductory,Humanities,English,['English'],7.5,4,Free,99.0
Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,['Charles Severance'],Introductory,Computer Science,Español,['Español'],3.0,7,Free,49.0
Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,['Pete Benbow'],Introductory,Data Analysis & Statistics,English,['English'],15.0,4,Free,99.0
High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Advanced,Data Analysis & Statistics,English,['English'],3.0,4,Free,149.0
Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,['George Russell'],Introductory,Humanities,English,['English'],4.0,6,Free,49.0
Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,"['John Yuen', 'Benson Lau', 'Allen Cheong', 'Richard Li']",Introductory,Medicine,English,['English'],3.0,8,Free,139.0
"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,['Edward Glaeser'],Introductory,Social Sciences,English,"['English', ' Português']",6.0,11,Free,99.0
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,['Michael Puett'],Introductory,Philosophy & Ethics,English,['English'],1.5,13,Free,99.0
Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,"['Bill Aulet', 'Erdin Beshimov']",Introductory,Business & Management,English,['English'],3.0,10,Free,49.0
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,['Thomas E. Patterson'],Introductory,Social Sciences,English,['English'],3.0,4,Free,49.0
Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['Regina Barzilay', 'Tommi Jaakkola', 'Karene Chu']",Advanced,Computer Science,English,['English'],12.0,15,Free,300.0
Introduction to Data Science,43766,Self-paced on your time,IBM,['Alex Aklson'],Introductory,Data Analysis & Statistics,English,['English'],4.5,6,Free,39.0
Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,"['Anant Agarwal', 'Gerald Sussman', 'Piotr Mitros', 'Chris Terman']",Introductory,Electronics,English,"['English', ' 中文']",6.0,5,Free,169.0
Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,['S.G. Badrinath'],Intermediate,Business & Management,English,['English'],4.0,5,Free,50.0
Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,"['John McDonough', 'Howard Koh', 'Amy Edmondson', 'Jose Alvarez']",Introductory,Business & Management,English,['English'],2.0,9,Free,99.0
Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,"['Rafael Irizarry', 'Michael Love']",Intermediate,Math,English,['English'],3.0,4,Free,149.0
DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,['Suresh Bhagavatula'],Introductory,Business & Management,English,"['English', ' हिन्दी']",3.5,6,Free,150.0
El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,"['Marina Casciano', 'Micaela Cordero', 'Helga Flores Trejo', 'Matteo Grazzi']",Introductory,Art & Culture,Español,['Español'],3.0,8,Free,25.0
Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,"['Jennifer Leaning', 'Michael VanRooyen']",Introductory,Health & Safety,English,['English'],3.5,5,Free,99.0
"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,"['Laurel Thatcher Ulrich', 'Jane Kamensky']",Introductory,History,English,['English'],2.5,8,Free,99.0
Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,"['David Damrosch', 'Martin Puchner']",Introductory,Literature,English,['English'],6.0,12,Free,149.0
SQL for Data Science,39184,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Data Analysis & Statistics,English,['English'],3.0,4,Free,39.0
El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,"['Ángela Martínez Rodríguez', 'Janeth Hernández Jaramillo']",Introductory,Communication,Español,['Español'],4.5,5,Free,49.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,"['Michael Brenner', 'David Weitz', 'Pia Sörensen']",Introductory,Physics,English,['English'],2.5,16,Free,169.0
Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,['Leonardo Salom Muñoz'],Introductory,Computer Science,Español,['Español'],3.5,8,Free,49.0
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",['Stephan Sorger'],Intermediate,Computer Science,English,['English'],6.0,4,Free,249.0
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,"['Marcia Castro', 'Flaminia Catteruccia', 'Michael R. Reich', 'Marcel Tanner']",Intermediate,Biology & Life Sciences,English,"['English', ' Français']",4.0,8,Free,49.0
Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,['Tarun Khanna'],Introductory,Business & Management,English,['English'],4.0,6,Free,125.0
JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),['Michel Buffa'],Introductory,Computer Science,English,['English'],7.0,5,Free,199.0
People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,['Vasanthi Srinivasan'],Introductory,Business & Management,English,"['English', ' हिन्दी']",3.0,6,Free,150.0
Using Email for Networking in English,57208,Self-paced on your time,University of Washington,"['Daphne Mackey', 'Richard Moore']",Introductory,Language,English,['English'],4.0,4,Free,149.0
Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,['Jennifer Widom'],Introductory,Computer Science,English,['English'],9.0,2,Free,50.0
C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,"['Petra Bonfert', 'Taylor', 'Rémi Sharrock']",Introductory,Computer Science,English,['English'],3.0,7,Free,49.0
Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,['Chris Caplice'],Introductory,Business & Management,English,['English'],10.0,15,Free,199.0
Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,"['Chris Murphy', 'Swapneel Sheth']",Intermediate,Computer Science,English,['English'],7.0,4,Free,149.0
Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,['Peter K. Bol'],Introductory,Humanities,English,['English'],3.0,7,Free,99.0
Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,['Prof. Ana Gimeno'],Intermediate,Language,English,['English'],4.0,4,Free,50.0
EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,['Derek Justin Brown'],Introductory,Language,English,['English'],2.5,6,Free,49.0
Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego","['Ilkay Altintas', 'Leo Porter']",Advanced,Data Analysis & Statistics,English,['English'],9.0,10,Free,350.0
Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley","['Dacher Keltner', 'Emiliana Simon', 'Thomas']",Introductory,Business & Management,English,['English'],1.5,4,Free,199.0
Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,['Tim Kastelle'],Intermediate,Business & Management,English,['English'],9.0,10,Free,5.0
China and Communism,69104,Self-paced on your time,Harvard University,"['Peter K. Bol', 'William C. Kirby']",Introductory,History,English,"['English', ' 中文']",2.0,15,Free,139.0
Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,['Estella Chen'],Introductory,Language,English,['English'],7.0,6,Free,149.0
Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['Eric S. Lander', 'Michelle Mischke', 'Graham Walker', 'Brian White']",Introductory,Biology & Life Sciences,English,"['English', ' 中文']",7.5,16,Free,150.0
Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,['Juan Carlos Alonso Rico'],Introductory,Art & Culture,Español,['Español'],9.0,5,Free,19.0
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,['Miguel Hernán'],Introductory,Data Analysis & Statistics,English,['English'],2.5,9,Free,99.0
生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,"['Wenxia Zhang', 'Fang Yang', 'Glenn M. Davis', 'Thomas H. Piachaud']",Introductory,Communication,English,['English'],3.0,10,Free,49.0
Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,"['Stephen Greenblatt', 'Bailey Sincox']",Introductory,Humanities,English,['English'],6.0,4,Free,49.0
Basic Spanish 2: One Step Further,67687,Self-paced on your time,Universitat Politècnica de Valencia,"['Prof. Ana Gimeno', 'Virginia González', 'Cristina Navarro', 'Begoña García Migura']",Introductory,Language,English,"['English', ' Español']",4.5,4,Free,50.0
Financial Market Analysis,37452,Self-paced on your time,The International Monetary Fund,"['Adolfo Barajas', 'Evan Tanner', 'Seung Mo Choi', 'Fabio Comelli']",Intermediate,Economics & Finance,English,['English'],9.0,7,Free,25.0
CS50's Computer Science for Business Professionals,73208,Self-paced on your time,Harvard University,['David J. Malan'],Introductory,Computer Science,English,['English'],4.0,6,Free,90.0
Gobierno Digital,18883,Self-paced on your time,Inter-American Development Bank,"['Lea Giménez', 'Miguel Porrúa', 'Benjamin Roseth', 'Alejandro Pareja']",Introductory,Social Sciences,Español,['Español'],1.5,8,Free,25.0
Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Politècnica de Valencia,['Prof. Ana Gimeno'],Intermediate,Language,English,['English'],4.0,4,Free,50.0
The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,"['Gregory Curfman, MD', 'Catherine Finn, MSW, LCSW']",Introductory,Medicine,English,['English'],1.5,10,Free,99.0
Gestión de Proyectos de Desarrollo,306286,Self-paced on your time,Inter-American Development Bank,"['Ernesto Mondelo', 'Claudia Baca']",Introductory,Business & Management,Español,['Español'],3.5,10,Free,49.0
